Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.4,343.67075658726856,1764.927119929645,1534.1366552282043,1328.2162296571469,1354.9010532392585,1396.9197731535387,23.922730263117415,33418.13493236728,-582.4912962112539,1556.0527342812518,973.5614380699978,2276.0461903629307,3249.6076284329283,3249.6076284329283,18.51147559586083,30.837597771831227
0.41000000000000003,343.8529040996971,1772.2527857608184,1540.3017857434534,1333.5436404781583,1360.3846823395024,1402.579727260861,23.963257896438904,33610.37972466896,-575.4963305389297,1527.082478770323,951.5861482313933,2207.161971814354,3158.748120045747,3158.748120045747,17.92024738795533,30.838666664280492
0.42,344.02920797213994,1779.3452001605103,1546.26935165988,1338.7002418838954,1365.6928124726933,1408.0565931760123,24.002735735134397,33797.210306117464,-568.0133812863148,1497.5338750922872,929.5204938059724,2139.632595881867,3069.1530896878394,3069.1530896878394,17.342848795152275,30.839638200655113
0.43,344.19980397821456,1786.209651768754,1552.0439271773246,1343.689995039758,1370.8294898409488,1413.354684566846,24.04117095434337,33978.70159079359,-560.0565149648725,1467.4314923061343,907.3749773412618,2073.3814529909782,2980.75643033224,2980.75643033224,16.778501564256473,30.84051844949223
0.44,344.36481998257824,1792.8511220413973,1557.6298200885637,1348.516630393885,1375.798525150882,1418.4780700394072,24.07857076649346,34154.92459016293,-551.6425126536341,1436.8056341863396,885.1631215327055,2008.3641391176218,2893.527260650327,2893.527260650327,16.226697562686688,30.841313204836002
0.45,344.5243778975305,1799.2743631935623,1563.0311379207217,1353.1837048640332,1380.603552340029,1423.4306305863183,24.11494216604249,34325.94733396246,-542.7908755553958,1405.6818587943003,862.8909832389045,1944.5375623361476,2807.4285455750523,2807.4285455750523,15.68694724554785,30.84202794473758
0.46,344.67859761273417,1805.4840557516557,1568.2519208916879,1357.6947167482524,1385.2481467656007,1428.2161865797607,24.150292380987306,34491.83848915994,-533.523499177423,1374.1111113714717,840.5876121940487,1881.871240431233,2722.458852625282,2722.458852625282,15.158869818022369,30.842668014045834
0.47000000000000003,344.8275935210519,1811.4846681284346,1573.2960242407653,1362.0530040758308,1389.7357204464686,1432.8383838314508,24.18462920258961,34652.6650202014,-523.864508114148,1342.1288657759094,818.2643576617614,1820.3511526258371,2638.6155102875987,2638.6155102875987,14.64222308022378,30.843238419849264
0.48,344.9714790112738,1817.2806370048665,1578.1672702629926,1366.261875994915,1394.0696572460893,1437.300836812169,24.217960508759024,34808.49490512341,-513.8401457049811,1309.7885402060997,795.9483945011186,1759.9586894055053,2555.907083906624,2555.907083906624,14.136733389203272,30.84374401405721
0.49,345.11036509755763,1822.876311702245,1582.8694018632407,1370.3245726599373,1398.2532714907188,1441.6070849971693,24.250295097039817,34959.39722516472,-503.47834236385995,1277.1462803970892,773.6679380332292,1700.69608050906,2474.364018542289,2474.364018542289,13.642299245489632,30.844189431007663
0.5,345.24436130609683,1828.275989476194,1587.4061125276246,1374.2442911459405,1402.289834576039,1445.7606173375332,24.28164232652546,35105.44219996662,-492.80857291540167,1244.2502601776744,751.4416872622727,1642.5598943946593,2394.001581656932,2394.001581656932,13.158777996372754,30.844579037744996
0.51,345.37357672651916,1833.4839575084252,1591.7810818791618,1378.0242161849321,1406.1826065504388,1449.764909867046,24.312012039969375,35246.70194381274,-481.8616705108127,1211.1705085913998,729.3088380805871,1585.555681930842,2314.864520011429,2314.864520011429,12.68610317628079,30.844917091421134
0.52,345.49811951301496,1838.5044724582274,1595.997958749332,1381.6675055546407,1409.934821004682,1453.623404028012,24.341415380048776,35383.25108360631,-470.6692223793121,1177.9582906881083,707.2890683087962,1529.6951692982911,2236.9842376070874,2236.9842376070874,12.224261201125707,30.84520755041372
0.53,345.61809776926225,1843.3417958018672,1600.0603911034632,1385.1773159479726,1413.5497116535576,1457.3395382549893,24.36986374007839,35515.16597030285,-459.26373259259026,1144.6792690336438,685.4155364410535,1474.9837703964995,2160.399306837553,2160.399306837553,11.773191844891121,30.845454236395536
0.54,345.73361947099994,1848.0001904085432,1603.9720233853827,1388.5568006920857,1417.0305099311217,1460.9167442922846,24.397369739666605,35642.52596936884,-447.67796918549874,1111.3986004231876,663.7206312376888,1421.4405945117442,2085.161225749433,2085.161225749433,11.332947538858246,30.845660775515757
0.55,345.8447927023416,1852.483929776749,1607.7365044861556,1391.8091166460015,1420.38045204134,1464.3584517401232,24.42394678225534,35765.41289544659,-435.94479348120575,1078.1701693204143,642.2253758392085,1369.0746158224135,2011.299991661622,2011.299991661622,10.903503191674433,30.845830548451392
0.56,345.95172562835864,1856.7972966490051,1611.3574867840148,1394.9374233836174,1423.6027780653467,1467.6680922760834,24.44960879546839,35883.91069774164,-424.0971517181282,1045.0662557875955,620.9691040694673,1317.9012298533705,1938.8703339228377,1938.8703339228377,10.484888383369126,30.845966839421344
0.5700000000000001,346.0545266923154,1860.9445906973087,1614.8386327922062,1397.9448889492344,1426.7007378404433,1470.849099663646,24.474371062895926,35998.10664269447,-412.16725571730757,1012.1379273252046,599.970671607897,1267.9358002113563,1867.9064718192533,1867.9064718192533,10.07713547516747,30.84607265633511
0.58,346.1533044336444,1864.930120919375,1618.1836089650585,1400.8346845182848,1429.677585412565,1473.9049084636129,24.498249106035427,36108.08960614993,-400.1869962171342,979.4472208023125,579.2602245851783,1219.1864928527348,1798.446717437913,1798.446717437913,9.680223126857811,30.84615088542372
0.59,346.24816753200554,1868.7582071602283,1621.3960871601125,1403.6099856722992,1432.5365803028944,1476.8389541183203,24.52125954783092,36213.95130428249,-388.18725554792246,947.053190705571,558.8659351576484,1171.6704911940506,1730.536426351699,1730.536426351699,9.294204811032392,30.84620423565233
0.6,346.3392246957713,1872.4331753636288,1624.4797408325142,1406.2739691227569,1435.2809840875964,1479.6546671022816,24.543419642903046,36315.78542127131,-376.1978090060162,915.001826319101,538.8040173130848,1125.3930961894334,1664.1971135025183,1664.1971135025183,8.919043009933421,30.84623519475007
