Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.62,346.7619177251895,-83999.99999,-49660.12526572602,-46327.55316551963,-47748.900264025346,93.21151353381617,-4450747.263185037,-14844.498911131925,22696.473792359575,-467.8474020646446,-965.9348215074813,-1433.782223572126,1433.782223572126,7.113636748566528,84.02476872593353
0.63,346.83145422036284,-83999.99999,-49647.76746082685,-46322.30254882577,-47738.573111433325,93.22991398908998,-4450663.065140813,-14283.054968569602,21783.27884880371,-448.98321714573206,-924.1506090335881,-1373.1338261793203,1373.1338261793203,6.795596279098982,84.03426132741653
0.64,346.89786837832105,-83999.99999,-49635.963371972095,-46317.28763169638,-47728.6810919004,93.24754732829804,-4450582.449034226,-13732.840457666634,20894.120150095234,-430.61844944071555,-883.757638948234,-1314.3760883889495,1314.3760883889495,6.48908771916813,84.04337785076837
0.65,346.96127319970935,-83999.99999,-49624.693074103045,-46312.49989007895,-47719.21092409252,93.26443619795268,-4450505.302646673,-13194.494759872461,20029.239026134797,-412.7554523603975,-844.7391872117325,-1257.49463957213,1257.49463957213,6.193771321063167,84.0521275664776
0.66,347.0217813106051,-83999.99999,-49613.93669406287,-46307.930827429496,-47710.14927803876,93.28060338069618,-4450431.512038542,-12668.581694252232,19189.199712562775,-395.40926648470764,-807.081639754525,-1202.4909062392326,1202.4909062392326,5.909625948109498,84.0605198783498
0.67,347.0795018954666,-83999.99999,-49603.674956780575,-46303.57220635828,-47701.48286645805,93.29607171390481,-4450360.9663686715,-12155.57589001932,18374.0537019808,-378.57830365293734,-770.7681960228832,-1149.3464996758205,1149.3464996758205,5.6362924945584405,84.06856454499328
0.68,347.1345425207491,-83999.99999,-49593.88886209819,-46299.41591097663,-47693.19848598742,93.31086391988742,-4450293.553830153,-11655.880332273013,17584.01207593233,-362.26781326961924,-735.7762469650967,-1098.044060234716,1098.044060234716,5.373591021852289,84.07627138245887
0.6900000000000001,347.18700878487175,-83999.99999,-49584.55974789656,-46295.45397337425,-47685.28297600993,93.32500273746727,-4450229.164273028,-11169.819772110963,16819.18830881532,-346.48091838370266,-702.0876279206901,-1048.5685463043928,1048.5685463043928,5.121329820136299,84.0836503753645
0.7000000000000001,347.23700260435373,-83999.99999,-49575.66959573451,-46291.67870308576,-47677.72339481731,93.33851058766135,-4450167.689882744,-10697.64741352069,16079.417342715305,-331.21201275260336,-669.6758007463766,-1000.88781349898,1000.88781349898,4.879147126437533,84.0907115849632
0.71,347.28462510074763,-83999.99999,-49567.20051834402,-46288.082469129404,-47670.506841855124,93.35140985514364,-4450109.022196447,-10239.54958046539,15364.766290144356,-316.4648879873515,-638.5165226874512,-954.9814106748028,954.9814106748028,4.646919995617228,84.09746509890704
