Position,Nl_CO2,Nv_CO2,kv_CO2,a_eA,DF_CO2,fv_CO2,fl_CO2,Psi,H_CO2_mix
0.86,0.0701315383183889,-0.0701315383183889,3.145935462643097e-05,74.22347575609368,311.6189643103032,1006.116673116107,694.4977088058038,365.18812800948933,3423.756530183333
0.87,0.06689449525929257,-0.06689449525929257,3.1466282737517636e-05,74.22507802002207,296.27670243272314,987.4462739658184,691.1695715330952,366.5801616243672,3425.4534913323355
0.88,0.0637886420701405,-0.0637886420701405,3.1472856273923314e-05,74.22659751154056,281.6514990529532,969.6507241993547,687.9992251464015,367.912772575329,3427.065440949401
0.89,0.060813818611896116,-0.060813818611896116,3.14790555403323e-05,74.2280296240915,267.72686449085325,952.6942990094783,684.967434518625,369.1905290912072,3428.589925230017
0.9,0.05798591892895969,-0.05798591892895969,3.148468056733271e-05,74.22932725823868,254.54971100429282,936.5446017784844,681.9948907741916,370.4308555436605,3429.992995177305
0.91,0.05529396104824452,-0.05529396104824452,3.1489821872361525e-05,74.23051174375237,242.06454774706015,921.1658642553092,679.101316508249,371.63041234610256,3431.2913592735154
0.92,0.052878597923362206,-0.052878597923362206,3.149286809185422e-05,74.23120332786021,230.80607368254584,906.5440614005868,675.7379877180409,372.90781055910736,3432.204646132397
0.93,0.05084648210825623,-0.05084648210825623,3.149253689472605e-05,74.23110011840696,221.18100741063245,892.6587468448217,671.4777394341893,374.3582424898498,3432.510160940395
0.9400000000000001,0.049623840462028855,-0.049623840462028855,3.1483859571330045e-05,74.22903100699847,214.83611844662607,879.5295794498198,664.6934610031938,376.3413762309749,3431.3404563068298
0.9500000000000001,0.051768256977626936,-0.051768256977626936,3.143708390553876e-05,74.21798470564575,221.56273890593081,867.42516571344,645.8624268075092,380.9872693058773,3423.490564811383
0.96,0.06178552758362144,-0.06178552758362144,3.129766660666006e-05,74.18514599017773,257.32685902255434,856.8020510887312,599.4751920661769,392.0839371451758,3399.3747287305346
0.97,0.09218708148782215,-0.09218708148782215,3.090256948646734e-05,74.09241190959938,359.5599312601598,848.9055507286846,489.34561946852483,419.90616179718853,3330.012039969562
0.98,0.1583000921129601,-0.1583000921129601,2.993600944243559e-05,73.86709496852141,548.649712975465,844.7811627906527,296.1314498151877,473.7001235713485,3156.766207170813
0.99,0.22597468031515966,-0.22597468031515966,2.8249416520652746e-05,73.48243436656388,723.2523133403192,841.9653894196898,118.7130760793706,504.33135577600837,2846.3955935675
1.0,0.23584132667489266,-0.23584132667489266,2.635295736575162e-05,73.06817248396845,794.3626842143856,834.1809036276544,39.81821941326878,453.8254078631439,2489.547829853954
