Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.39,344.11561173109885,-83999.99999,-50129.48398218421,-46527.322686267384,-48122.70249436807,92.55147176767416,-4453826.94129169,-28596.667173304893,48287.56250095009,-994.7381980645598,-2313.4220511359404,-3308.1602492005004,3308.1602492005004,17.81420422850279,83.69730940251674
0.4,344.2906245470855,-83999.99999,-50098.499200891165,-46514.113900739714,-48099.149842698316,92.59272752484327,-4453631.475561573,-28069.92813996684,47071.815276524874,-969.9045921788618,-2237.759724713558,-3207.66431689242,3207.66431689242,17.1909959401653,83.71689707633593
0.41000000000000003,344.4594822209713,-83999.99999,-50068.5966166209,-46501.36928043687,-48076.289562233476,92.63281405177602,-4453441.991317715,-27526.242570793933,45855.619329715584,-945.0190721555915,-2163.6763140728262,-3108.6953862284176,3108.6953862284176,16.58287078925259,83.73603727010354
0.42,344.62233002348347,-83999.99999,-50039.751300740856,-46489.07789977516,-48054.11388508664,92.67174112831444,-4453258.40210929,-26966.58483596287,44639.08535979598,-920.0846454496751,-2091.1189517313264,-3011.2035971810014,3011.2035971810014,15.989059804156215,83.75472512501841
0.43,344.7793101396312,-83999.99999,-50011.93881874131,-46477.229063780214,-48032.61515481058,92.70951840276577,-4453080.618627877,-26392.05801121998,43423.09337256476,-895.1264768420309,-2020.0298793390134,-2915.1563561810444,2915.1563561810444,15.409305817321298,83.7729560229116
0.44,344.9305627667602,-83999.99999,-49985.135038410604,-46465.81222529629,-48011.785463939996,92.74615619846989,-4452908.554006005,-25803.877135656192,42208.68855236088,-870.1722586117226,-1950.3851663686607,-2820.557424980383,2820.557424980383,14.843422794265292,83.7907260696073
0.45,345.0762232786174,-83999.99999,-49959.316635021205,-46454.81719913844,-47991.616861334674,92.78166510038122,-4452742.123254162,-25203.361875716237,40996.66858618536,-845.2384880797232,-1882.1573414701488,-2727.395829549872,2727.395829549872,14.290943491553403,83.80803209244222
0.46,345.2164273454578,-83999.99999,-49934.460186392935,-46444.23377570046,-47972.101173929055,92.81605617098062,-4452581.237199364,-24591.9180038887,39788.715506960536,-820.3692378277331,-1815.33264064489,-2635.7018784726233,2635.7018784726233,13.75205061260256,83.82487130467966
0.47000000000000003,345.3513085098677,-83999.99999,-49910.542604643946,-46434.051904011016,-47953.22969286223,92.84934169262247,-4452425.809017375,-23971.01312079874,38585.85239895929,-795.5844766107292,-1749.9107760635604,-2545.4952526742895,2545.4952526742895,13.226363910075792,83.84124215612695
0.48,345.4809988375148,-83999.99999,-49887.54102298039,-46424.261642689555,-47934.99362317023,92.88153416104788,-4452275.747720098,-23342.176997190458,37389.691482475704,-770.9224290282141,-1685.8839813857828,-2456.8064104139967,2456.8064104139967,12.713919732064463,83.85714346531692
0.49,345.60563156070504,-83999.99999,-49865.43232873616,-46414.852960453216,-47917.38351381838,92.9126474377533,-4452130.960559019,-22706.96813987889,36201.87089961396,-746.4212591880255,-1623.2659770264124,-2369.6872362144377,2369.6872362144377,12.214769933688563,83.87257507836284
