Position,Tv,Hv_CO2,Hv_H2O,Hv_N2,Hv_O2,Hv_T,Fv_T,Hvf,Hv_CO2_trn,Hv_H2O_trn,Hv_trn,qv,Hv_flux,dHvf_dz,dTv_dz,dHv_dT
0.5,345.53446112695434,1839.9696216976324,1597.2284653746456,1382.730627934002,1411.0297571144647,1454.6384776553402,24.341511823596544,35408.09970290594,-483.3636211757586,1205.4688798386235,722.1052586628648,1562.0592581231467,2284.1645167860115,2284.1645167860115,12.48389296338921,30.84261344647625
0.51,345.6568283453471,1844.9035180510193,1601.371820343309,1386.310339602302,1414.7166874488817,1458.427548566194,24.370511394325206,35542.62519013021,-470.53294178031086,1168.5559772017286,698.0230354214177,1502.275897917213,2200.2989333386304,2200.2989333386304,11.991731832246362,30.84284272958836
0.52,345.77433962311454,1849.642399961622,1605.3508543749147,1389.7480431257666,1418.2574961738676,1462.0653180455035,24.398478679095827,35672.16948977868,-457.54239599711053,1131.7398501601965,674.1974541630859,1443.9307254771932,2118.128179640279,2118.128179640279,11.51271664709992,30.843030597813833
0.53,345.887126171567,1854.1914647938434,1609.169998326785,1393.0475714048334,1421.656114232781,1465.555943742521,24.42543086265704,35796.83537923904,-444.4318008676101,1095.0982549393054,650.6664540716954,1387.0294569957177,2037.6959110674131,2037.6959110674131,11.046775814950397,30.843180889166902
0.54,345.99531895028844,1858.5559069469984,1612.8336754320883,1396.212750393589,1424.91646671267,1468.9035714543352,24.451386513257997,35916.728976335035,-431.2401271293891,1058.7061566664408,627.4660295370518,1331.591642145831,1959.0576716828828,1959.0576716828828,10.593952498700242,30.843297208538925
0.55,346.0990486739188,1862.740917762381,1616.3463014868944,1399.2473992781997,1428.0424729611168,1472.112332041802,24.47636497655485,36031.95872554245,-418.0053328637899,1022.6223173650565,604.6169845012666,1277.6219956376206,1882.2389801388872,1882.2389801388872,10.154176425836832,30.84338286797159
0.56,346.1984459543567,1866.7516909079566,1619.712289624314,1402.155334617747,1431.038050787417,1475.186352152381,24.500386145266617,36142.6352639606,-404.7644649555664,986.9254672225862,582.1610022670199,1225.1319139381696,1807.2929162051896,1807.2929162051896,9.72743527393485,30.843441069073833
0.5700000000000001,346.29364078163024,1870.5934010892995,1622.9360326943054,1404.940355137838,1433.9071007356222,1478.1297308857925,24.523471190710428,36248.87187151029,-391.5526509836016,951.6673529020451,560.1147019184434,1174.130167235027,1734.2448691534705,1734.2448691534705,9.313700245031093,30.843474690364616
0.58,346.3847629136267,1874.2712194417443,1626.0219164216574,1407.6062531138064,1436.653517750074,1480.9465571733729,24.545641451012692,36350.78320048928,-378.4037263021898,916.9104575397811,538.5067312375913,1124.6162684796095,1663.1229997172009,1663.1229997172009,8.912873900329785,30.84348647204112
0.59,346.47194134791033,1877.7902918920336,1628.9743014804433,1410.1567989000846,1439.2811751793106,1483.640892036326,24.56691925305483,36448.48599518666,-365.3494766664773,882.712444218953,517.3629675524758,1076.598842439973,1593.9618099924487,1593.9618099924487,8.52493551399049,30.843478954025663
0.6,346.5553040760139,1881.155728921516,1631.7975151342173,1412.5957337235875,1441.7939172937656,1486.2167583175005,24.58732733470224,36542.097927072435,-352.41961869853947,849.1144350452184,496.694816346679,1030.0717275497952,1526.766543896474,1526.766543896474,8.149751786789714,30.843454427677003
0.61,346.63497863878956,1884.3726276809252,1634.4958700066131,1414.9267859141974,1444.195575952055,1488.678163506194,24.606888778416465,36631.737996254196,-339.6420324636013,816.1727208457859,476.53068838218456,985.0334307525961,1461.5641191347806,1461.5641191347806,7.787230957213324,30.8434150947505
