Position,k2,Cl_MEA_true,Dl_CO2,kl_CO2,Ha,E,Psi,Psi_H,eta_psi
0.86,84.4772015397266,2559.039771972204,3.983238554967099e-09,4.296913073046673e-05,682.9200566164097,292.35959756547277,399.70576921356286,0.10442454756036927,1.0
0.87,84.59724268358679,2561.694364381547,3.984737184771757e-09,4.2987577222004386e-05,683.5946147840839,293.15567043309085,400.89621926613603,0.10466618922866562,1.0
0.88,84.7108089987442,2564.2141495773994,3.986147461656054e-09,4.300499326925388e-05,684.2335374851043,293.9139995528618,402.02987158253535,0.10489627078894835,1.0
0.89,84.81763332399728,2566.606528202076,3.987458799686778e-09,4.302131324348888e-05,684.8369169283558,294.63848924261185,403.11163446155973,0.10511605251461012,1.0
0.9,84.91452274951766,2568.8843784676833,3.988583621468718e-09,4.303587716737983e-05,685.3966176537407,295.34477919317914,404.1592253520306,0.1053306442522054,1.0
0.91,85.00299353768035,2571.0511687303283,3.9895587821930295e-09,4.304898432279938e-05,685.9176765198913,296.0294094852866,405.16947456755446,0.10553887845403179,1.0
0.92,85.05694576184818,2573.164356175393,3.989694020078782e-09,4.305532558516119e-05,686.3277716352164,296.800476603174,406.26107209118726,0.10577616928047792,1.0
0.93,85.0556157622146,2575.2709439925425,3.988440928245932e-09,4.305068301295837e-05,686.5694841145125,297.7445202194007,407.52896836411213,0.10607079423426301,1.0
0.9400000000000001,84.91852619795235,2577.5354585791733,3.983678901298184e-09,4.3018701241861135e-05,686.4176094108776,299.1899971153262,409.33121583235146,0.10653015060711714,1.0
0.9500000000000001,84.16579773936725,2580.91732766642,3.962733929702268e-09,4.2861441621775345e-05,684.5190693750841,303.09158228570567,413.7849675171774,0.10779277747819437,1.0
0.96,81.94717190807718,2587.1787669038654,3.902738544221253e-09,4.240085705329578e-05,678.4069647934413,312.9802570257395,424.59893546355596,0.11100432263703794,1.0
0.97,75.90650300047379,2601.620414983443,3.737546942771413e-09,4.11135830895639e-05,660.7991235874447,338.84839314353786,451.47343673112965,0.11937055317174665,1.0
0.98,62.57777912103691,2634.7793574852026,3.3522860152638627e-09,3.8036786526101775e-05,618.086008434603,393.36587507614666,500.60571283507494,0.13687252677943956,1.0
0.99,43.87048480067402,2692.091122383349,2.7434060379690895e-09,3.293912848704043e-05,546.4671190610793,444.74369993521356,519.4541997734939,0.15433839119974987,1.0
1.0,28.6272577689598,2756.8861034603588,2.1535811461000033e-09,2.7653407887312848e-05,471.4452312231668,437.25316357450043,459.630674532846,0.1558504084609298,1.0
