Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.76,347.5491209209397,-83999.99999,-49520.15241741952,-46268.10835264494,-47630.50160309222,93.42304654937807,-4449786.568435911,-7427.192067034212,11020.311577503024,-226.5601873960676,-452.4630373491247,-679.0232247451922,679.0232247451922,3.2611230787823424,84.13482398352693
0.77,347.5808816463826,-83999.99999,-49514.5016427622,-46265.70978736265,-47625.611419390465,93.43180552622357,-4449746.864203982,-7067.107130227398,10474.1149014325,-215.31483948137074,-429.4059042065668,-644.7207436879376,644.7207436879376,3.092410276338315,84.13946386593481
0.78,347.61099571716125,-83999.99999,-49509.143593078974,-46263.43556363242,-47620.96809384291,93.44012415866031,-4449709.171244282,-6721.70377685453,9951.468468645407,-204.5557995431403,-407.4094990612644,-611.9652986044047,611.9652986044047,2.931717877105418,84.14387487821539
0.79,347.63954200774594,-83999.99999,-49504.06427250894,-46261.279726935965,-47616.560492848,93.44802211895203,-4449673.398164078,-6390.6626597660215,9451.734006626713,-194.27016776613127,-386.4378354362537,-580.7080032023849,580.7080032023849,2.778757349259466,84.14806677208217
0.8,347.66659531348125,-83999.99999,-49499.25040671089,-46259.23663057697,-47612.377953265124,93.45551826817207,-4449639.457602482,-6073.645338936645,8974.163629323402,-184.44127755882386,-366.4520671405592,-550.8933446993831,550.8933446993831,2.633166769704979,84.15204898095604
0.81,347.69222924502566,-83999.99999,-49494.68892824707,-46257.300717112565,-47608.40996606423,93.46263120775477,-4449607.263045858,-5770.282974547042,8518.126018016026,-175.05713243566913,-347.41528418518106,-522.4724166208503,522.4724166208503,2.494702052634803,84.15583081391581
0.8200000000000001,347.71651201041254,-83999.99999,-49490.36772751406,-46255.4668369182,-47604.64667236935,93.46937841186258,-4449576.7339827055,-5480.20562246531,8082.8130570810445,-166.09915977465474,-329.28916574501335,-495.3883255196681,495.3883255196681,2.362979626441271,84.15942111053387
0.8300000000000001,347.7395103909324,-83999.99999,-49486.274945611505,-46253.729947942935,-47601.07839117967,93.47577704673321,-4449547.790877981,-5203.019595640643,7667.479599719869,-157.55140466594185,-312.0346389376197,-469.58604360356156,469.58604360356156,2.2376840731656094,84.1628285753591
0.84,347.76128698025707,-83999.99999,-49482.399465964794,-46252.08532423323,-47597.695945411644,93.48184339822194,-4449520.358485155,-4938.327644411891,7271.251162799523,-149.39313040988515,-295.61017712858717,-445.0033075384723,445.0033075384723,2.1183990888057584,84.16606154981531
0.85,347.7818937426572,-83999.99999,-49478.73206112258,-46250.52904245399,-47594.49121649088,93.48759185113961,-4449494.369209949,-4685.740890173267,6892.255501719463,-141.56714179461937,-279.9360579080746,-421.50319970269396,421.50319970269396,2.003884826554695,84.16912785421621
0.86,347.80139294453784,-83999.99999,-49475.26166785349,-46249.05640109562,-47591.455258367314,93.49303832159423,-4449469.750250973,-4444.837896284521,6530.214166419791,-134.0744331867664,-264.9937692939137,-399.06820248068016,399.06820248068016,1.8942332004451237,84.17203545473843
0.87,347.81977516388093,-83999.99999,-49471.98998002112,-46247.66811268845,-47588.58549972514,93.49818709786031,-4449446.470775823,-4215.306189439694,6175.815297505675,-126.58639276164416,-250.41347705678277,-376.99986981842693,376.99986981842693,1.782047630784731,84.17479018639835
0.88,347.8370456026922,-83999.99999,-49468.916087798905,-46246.36378525716,-47585.87816804526,93.50304468257394,-4449424.492606256,-3996.796882247299,5821.860761799348,-118.85116624039924,-235.9081452970478,-354.75931153744705,354.75931153744705,1.6616948390860415,84.17739813901375
0.89,347.85306404728516,-83999.99999,-49466.064963158016,-46245.15400915132,-47583.342156897095,93.50759440316051,-4449403.858753942,-3789.165197441172,5442.072884672702,-109.9206119154354,-220.4440637467835,-330.36467566221893,330.36467566221893,1.511744933108788,84.17986155781048
0.9,347.86667522450136,-83999.99999,-49463.64225567717,-46244.1260364128,-47581.07387790319,93.51165930978888,-4449385.1700643785,-3593.6693303200873,4874.5344342903945,-93.89776922887884,-197.67898645877807,-291.57675568765694,291.57675568765694,1.1985055108708567,84.18215746226184
0.91,347.8783670693451,-83999.99999,-49461.56113919043,-46243.243017470384,-47579.02835338791,93.51532141894921,-4449368.129268369,-3409.257630731733,4177.116505025903,-72.89882126769577,-169.89065235935317,-242.78947362704895,242.78947362704895,0.7702601572987492,84.1843031860246
0.92,347.87904088542723,-83999.99999,-49461.44120067892,-46243.192127889895,-47577.98605751228,93.51715072701039,-4449357.693427974,-3248.0300735588066,2123.307193159605,-2.1775696787435663,-89.07902761428095,-91.25659729302451,91.25659729302451,-0.7876186731978586,84.18607984102204
0.93,347.8614709201151,-83999.99999,-49464.56859618845,-46244.5190874558,-47578.56632871044,93.51600950014851,-4449357.660799132,-3119.234957505218,-2259.972889861395,153.754072903078,83.18628035608957,236.94035325916758,-236.94035325916758,-4.2801322077876875,84.18731496210567
0.9400000000000001,347.79767872255786,-83999.99999,-49475.92271850405,-46249.33691130868,-47583.17513626365,93.5074933517709,-4449383.4327103235,-3059.917227413718,-12705.371170097975,530.8331164292215,493.20304063886323,1024.0361570680848,-1024.0361570680848,-12.796504263749865,84.18732568149025
0.9500000000000001,347.51979377054124,-83999.99999,-49525.36998397854,-46270.32312166945,-47606.26037448008,93.46518658915251,-4449528.008712558,-3292.72904337644,-51254.675487358545,1928.5166327084082,2013.2808869255105,3941.7975196339185,-3941.7975196339185,-44.60235749555935,84.18200302134075
0.96,346.7197356146736,-83999.99999,-49667.62112270975,-46330.73825216852,-47674.33479935783,93.34077896256865,-4449959.546694353,-4207.6252057329875,-155021.12910062904,5659.644203235415,6200.283304658521,11859.927507893935,-11859.927507893935,-130.66975817013926,84.16393306475467
0.97,344.4723758276769,-83999.99999,-50066.31301611319,-46500.39611327082,-47866.97719120257,92.99079549881043,-4451188.287133341,-6862.90223709981,-414975.44704477495,14730.28180767893,17400.745666335464,32131.027474014394,-32131.027474014394,-348.2424175647107,84.11165457038214
0.98,338.9443030176207,-83999.99999,-51041.45525571453,-46917.44627806995,-48341.60216712935,92.14431980730464,-4454404.050085458,-12413.470617581503,-891764.688287502,29771.702309020882,41810.75160412493,71582.45391314582,-71582.45391314582,-756.5013155319136,83.98781401613435
0.99,329.20317637149236,-83999.99999,-52740.722905112576,-47651.57133087453,-49177.63729908221,90.69659184819082,-4460244.098173224,-17760.388782502538,-1271333.7466301317,37111.953050367585,74324.87754749919,111436.83059786676,-111436.83059786676,-1105.7083143035547,83.79390364751589
1.0,318.14999999999986,-83999.99999,-54639.89720334002,-48483.84988550262,-50125.41569442286,89.11583031862463,-4466968.039674711,-18375.14916463669,-1179881.3240592023,27412.899605764473,92955.6049963341,120368.50460209858,-120368.50460209858,-1061.7555820826715,83.61672191159087
